id,name,season,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
669211,Keegan Akin,2024,29,66,0,56,84,31,13,2,9,97,19,1,55,2,.193,285,.244,.347,.591,0,0,.---,.---,2,1241,3.32,78.2,3,1,1,4,6,3,29,0.94,313,236,66,0,0,816,.660,2,0,4,0,99,0.67,.750,15.78,21,5.11,11.10,2.17,6.29,3.55,1.03,37,13,0,2,5
669211,Keegan Akin,2025,30,64,3,49,72,28,9,0,10,59,33,2,54,1,.233,232,.328,.401,.729,1,2,.667,.333,5,1058,3.41,63.1,5,4,8,14,16,6,24,1.37,268,190,64,0,0,696,.660,1,0,2,1,93,0.68,.556,16.71,18,1.79,8.38,4.69,7.67,3.98,1.42,37,8,0,0,2
669211,Keegan Akin,2026,31,1,0,1,0,6,0,1,1,2,0,0,6,0,.667,9,.667,1.222,1.889,0,0,.---,.---,0,32,54.00,1.0,0,0,0,0,0,0,6,6.00,9,3,1,0,0,23,.720,0,0,0,0,11,1.00,.---,32.00,0,-.--,18.00,0.00,54.00,54.00,9.00,0,0,0,0,0
669372,J.T. Ginn,2024,25,8,6,36,30,16,5,0,4,29,9,1,36,2,.275,131,.331,.405,.736,2,0,.000,1.000,5,515,4.24,34.0,1,1,0,0,0,0,16,1.32,142,102,8,0,0,320,.620,2,0,0,0,53,1.20,.500,15.15,1,3.22,7.68,2.38,9.53,4.24,1.06,0,0,0,0,0
669372,J.T. Ginn,2025,26,23,16,102,62,52,20,2,17,99,31,1,92,6,.260,354,.329,.472,.801,0,10,1.000,.000,8,1575,5.08,90.1,4,7,0,0,1,0,51,1.36,392,271,23,0,0,939,.600,6,0,1,0,167,1.65,.364,17.44,0,3.19,9.86,3.09,9.17,5.18,1.69,4,2,0,0,1
669372,J.T. Ginn,2026,27,7,4,30,23,9,5,0,4,19,9,0,18,1,.202,89,.280,.393,.673,0,3,1.000,.000,3,388,3.24,25.0,0,0,0,1,0,1,9,1.08,100,75,7,0,0,244,.630,1,1,0,0,35,1.30,.---,15.52,2,2.11,6.84,3.24,6.48,3.24,1.44,4,1,0,0,1
669467,Andre Pallante,2022,23,47,10,168,62,39,18,1,9,73,40,2,113,1,.274,413,.338,.387,.725,2,5,.714,.286,17,1753,3.17,108.0,6,5,0,1,9,1,38,1.42,457,324,47,0,0,1087,.620,1,0,4,0,160,2.71,.545,16.23,4,1.83,6.08,3.33,9.42,3.25,0.75,23,9,0,2,1
669467,Andre Pallante,2023,24,62,0,135,15,37,16,0,6,43,30,0,76,3,.286,266,.362,.414,.776,3,15,.833,.167,8,1139,4.76,68.0,4,1,0,5,14,5,36,1.56,302,204,62,0,0,690,.610,3,1,6,0,110,9.00,.800,16.75,9,1.43,5.69,3.97,10.06,4.90,0.79,43,19,0,1,2
669467,Andre Pallante,2024,25,29,20,172,83,55,21,0,8,94,48,0,110,2,.240,458,.315,.338,.653,6,26,.813,.188,12,1978,3.78,121.1,8,8,0,0,1,0,51,1.30,509,364,29,0,0,1228,.620,2,2,12,3,155,2.07,.500,16.30,1,1.96,6.97,3.56,8.16,4.08,0.59,6,3,0,1,0
669467,Andre Pallante,2025,26,31,31,247,116,109,32,4,21,111,62,0,173,5,.270,640,.337,.431,.768,3,18,.857,.143,12,2720,5.31,162.2,6,15,0,0,0,0,96,1.44,715,488,31,0,0,1656,.610,5,2,12,1,276,2.13,.286,16.72,0,1.79,6.14,3.43,9.57,6.03,1.16,0,0,1,2,5
