player_id,game_id,team_side,team_name,opponent_pitcher_name,opponent_pitcher_hand,batter_bat_side,lineup_position,batting_order_raw,batter_bats_left,batter_bats_right,batter_switch_hitter,pitcher_throws_left,platoon_advantage
671289,823638,away,Colorado Rockies,Freddy Peralta,,,0,,0,0,0,0,0
641355,824204,away,New York Yankees,Lance McCullers Jr.,,,0,,0,0,0,0,0
622554,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
670990,823800,away,Pittsburgh Pirates,Brandon Woodruff,,,0,,0,0,0,0,0
594580,824529,home,Cincinnati Reds,Framber Valdez,,,0,,0,0,0,0,0
607259,822992,home,Tampa Bay Rays,Taj Bradley,,,0,,0,0,0,0,0
681351,824124,away,Los Angeles Angels,Noah Cameron,,,0,,0,0,0,0,0
641329,822992,home,Tampa Bay Rays,Taj Bradley,,,0,,0,0,0,0,0
677800,824854,away,Boston Red Sox,Brandon Young,,,5,500,0,0,0,0,0
702275,824932,home,Atlanta Braves,Andrew Painter,,,0,,0,0,0,0,0
805367,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
676282,822827,away,Cleveland Guardians,Max Scherzer,,,0,,0,0,0,0,0
656555,822827,away,Cleveland Guardians,Max Scherzer,,,0,,0,0,0,0,0
547180,824932,away,Philadelphia Phillies,Grant Holmes,,,0,,0,0,0,0,0
665742,823638,home,New York Mets,Michael Lorenzen,,,2,200,0,0,0,0,0
669236,824854,home,Baltimore Orioles,Brayan Bello,,,0,,0,0,0,0,0
621439,822992,away,Minnesota Twins,Drew Rasmussen,,,1,100,0,0,0,0,0
694477,823800,home,Milwaukee Brewers,Paul Skenes,,,0,,0,0,0,0,0
666464,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
663743,822992,home,Tampa Bay Rays,Taj Bradley,,,8,800,0,0,0,0,0
641816,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
694335,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
669289,823962,home,Los Angeles Dodgers,Jameson Taillon,,,0,,0,0,0,0,0
642207,823638,home,New York Mets,Michael Lorenzen,,,0,,0,0,0,0,0
628451,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
664731,824529,home,Cincinnati Reds,Framber Valdez,,,0,,0,0,0,0,0
696131,824124,home,Kansas City Royals,Yusei Kikuchi,,,0,,0,0,0,0,0
607192,823962,home,Los Angeles Dodgers,Jameson Taillon,,,0,,0,0,0,0,0
681911,823962,home,Los Angeles Dodgers,Jameson Taillon,,,0,,0,0,0,0,0
678906,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
664770,822827,home,Toronto Blue Jays,Gavin Williams,,,1,100,0,0,0,0,0
671732,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
656582,823069,away,Seattle Mariners,Andre Pallante,,,0,,0,0,0,0,0
605218,823638,home,New York Mets,Michael Lorenzen,,,0,,0,0,0,0,0
595014,823962,home,Los Angeles Dodgers,Jameson Taillon,,,0,,0,0,0,0,0
656686,823962,away,Chicago Cubs,Emmet Sheehan,,,0,,0,0,0,0,0
666969,824932,away,Philadelphia Phillies,Grant Holmes,,,0,,0,0,0,0,0
622761,824932,home,Atlanta Braves,Andrew Painter,,,0,,0,0,0,0,0
669717,823069,away,Seattle Mariners,Andre Pallante,,,0,,0,0,0,0,0
571510,823962,away,Chicago Cubs,Emmet Sheehan,,,0,,0,0,0,0,0
445276,824529,away,Detroit Tigers,Andrew Abbott,,,0,,0,0,0,0,0
663567,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
621438,823638,home,New York Mets,Michael Lorenzen,,,8,800,0,0,0,0,0
553869,824124,home,Kansas City Royals,Yusei Kikuchi,,,8,800,0,0,0,0,0
572233,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
696100,823638,away,Colorado Rockies,Freddy Peralta,,,0,,0,0,0,0,0
594798,822909,home,Texas Rangers,Luis Severino,,,0,,0,0,0,0,0
669394,822909,home,Texas Rangers,Luis Severino,,,0,,0,0,0,0,0
687093,824124,away,Los Angeles Angels,Noah Cameron,,,0,,0,0,0,0,0
500779,823638,away,Colorado Rockies,Freddy Peralta,,,0,,0,0,0,0,0
607455,822992,away,Minnesota Twins,Drew Rasmussen,,,0,,0,0,0,0,0
605540,823800,home,Milwaukee Brewers,Paul Skenes,,,0,,0,0,0,0,0
660853,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
669467,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
694918,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
676979,824854,away,Boston Red Sox,Brandon Young,,,0,,0,0,0,0,0
671737,822992,away,Minnesota Twins,Drew Rasmussen,,,0,,0,0,0,0,0
647304,823069,away,Seattle Mariners,Andre Pallante,,,0,,0,0,0,0,0
543760,823638,home,New York Mets,Michael Lorenzen,,,6,600,0,0,0,0,0
802139,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
641778,822827,home,Toronto Blue Jays,Gavin Williams,,,0,,0,0,0,0,0
608324,823962,away,Chicago Cubs,Emmet Sheehan,,,0,,0,0,0,0,0
669711,824854,away,Boston Red Sox,Brandon Young,,,0,,0,0,0,0,0
689254,822827,home,Toronto Blue Jays,Gavin Williams,,,0,,0,0,0,0,0
607067,823962,away,Chicago Cubs,Emmet Sheehan,,,0,,0,0,0,0,0
641933,824854,home,Baltimore Orioles,Brayan Bello,,,0,,0,0,0,0,0
641941,824529,home,Cincinnati Reds,Framber Valdez,,,0,,0,0,0,0,0
805123,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
683002,824854,home,Baltimore Orioles,Brayan Bello,,,0,,0,0,0,0,0
687075,823800,home,Milwaukee Brewers,Paul Skenes,,,0,,0,0,0,0,0
621121,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
690997,823638,home,New York Mets,Michael Lorenzen,,,0,,0,0,0,0,0
608372,823638,away,Colorado Rockies,Freddy Peralta,,,0,,0,0,0,0,0
665019,822992,away,Minnesota Twins,Drew Rasmussen,,,5,500,0,0,0,0,0
803011,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
687462,823800,away,Pittsburgh Pirates,Brandon Woodruff,,,0,,0,0,0,0,0
687515,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
